Name,Author,Rating,Format,Price
The Year's Best Sports Writing 2022,J.A. Adande,4.4,Paperback,$18.33
Behind Closed Doors: A Daughter's Story,Daniella DeChristopher,4.2,Paperback,$10.99
A Game of Extremes: 25 Exceptional Baseball Stories about What Happened on and off the Field,Part of: A Game of Extremes. (4 books) ,4.3,Paperback,$15.97
"Imagine Heaven: Near-Death Experiences, God's Promises, and the Exhilarating Future That Awaits You",John Burke,4.8,Paperback,$11.50
Lost on Purpose: The Adventures of a 21st Century Mountain Man (Adventures of a 21st Mountain Man),Patrick Taylor,4.3,Paperback,$14.95
12 Rules for Life: An Antidote to Chaos,Audible Audiobook,$0.00
Spaced Out: The Tactical Evolution of the Modern NBA,Mike Prada,4.4,Kindle,$11.99
Damaged Goods: a Memoir,Shelley Louise,4.3,Paperback,$12.95
Mistakes That Worked: 40 Familiar Inventions & How They Came to Be,Charlotte Foltz Jones,4.7,Paperback,$10.67
"Interesting Stories for Curious Kids: A Fascinating Collection of the Most Interesting, Unbelievable, and Craziest Stories on Earth!",Bill O'Neill,4.6,Paperback,$11.90
"Psychological Triggers: Human Nature, Irrationality, and Why We Do What We Do. The Hidden Influences Behind Our Actions, Thoughts, and Behaviors.",Book 3 of 7: Understand Your Brain Better ,4.4,Paperback,$13.25
"Walk the Blue Line: No right, no left―just cops telling their true stories to James Patterson.",James Patterson,4.3,Hardcover,$19.98
Upstairs at the White House: My Life with the First Ladies,J. B. West,4.5,Kindle,$10.44
American Psychosis: A Historical Investigation of How the Republican Party Went Crazy,Audible Audiobook,$0.00
The Best New True Crime Stories: Unsolved Crimes & Mysteries,Part of: The Best New True Crime Stories (8 books) ,4.8,Paperback,$18.59
The Trail: a novel,Ethan Gallogly,4.5,Kindle,$0.00
The Quiet Americans: Four CIA Spies at the Dawn of the Cold War--a Tragedy in Three Acts,Scott Anderson,4.5,Kindle,$9.99
The 50 States: Explore the U.S.A. with 50 fact-filled maps!,Part of: The 50 States (10 books) ,4.8,Hardcover,$25.99
When Heroes Flew,Book 1 of 4: When Heroes Flew ,4.5,Kindle,$0.00
"Into the Abyss: An Extraordinary True Story by Shaben, Carol (2014) Paperback",Carol Shaben,4.3,Paperback,$11.89
"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",Gregg Olsen,4.3,Kindle Edition,$0.00
"Butcher, Biter, Spy: A True Story of Madness, Mutilation and Unspeakable Acts of Brutality (True Crime)",Part of: True Crime (26 books) ,4.5,Paperback,$11.99
"One Man's Wilderness, 50th Anniversary Edition: An Alaskan Odyssey",Sam Keith,4.8,Paperback,$17.99
Greenlights,Audible Audiobook,$0.00
Never Say Invisible: A Memoir of Living and Being Seen with ALS,Jeremy  Schreiber,4.5,Kindle,$0.00
American Psychosis: A Historical Investigation of How the Republican Party Went Crazy,Audible Audiobook,$0.00
The Quiet Americans: Four CIA Spies at the Dawn of the Cold War--a Tragedy in Three Acts,Scott Anderson,4.5,Kindle,$9.99
I Was Just a Radioman: The Memoirs of a Pearl Harbor Survivor - Large Print,Pamela Ackerson,4.3,Paperback,$21.99
The Best New True Crime Stories: Unsolved Crimes & Mysteries,Part of: The Best New True Crime Stories (8 books) ,4.8,Paperback,$18.59
The Pale-Faced Lie: A True Story,David Crow,4.5,Paperback,$13.49
The Trail: a novel,Ethan Gallogly,4.5,Kindle,$0.00
"American OZ: An Astonishing Year Inside Traveling Carnivals at State Fairs & Festivals: Hitchhiking From California to New York, Alaska to Mexico",Michael Sean Comerford,4.2,Kindle,$9.99
Lost Airmen: The Epic Rescue of WWII U.S. Bomber Crews Stranded Behind Enemy Lines,Charles E. Stanley Jr.,4.7,Hardcover,$20.49
The Baseball 100,Joe Posnanski,4.8,Paperback,$20.75
"When the Moon Turns to Blood: Lori Vallow, Chad Daybell, and a Story of Murder, Wild Faith, and End Times",Leah Sottile,4.1,Kindle Edition,$15.99
The Cold Start Problem: How to Start and Scale Network Effects,Andrew Chen,4.5,Kindle Edition,$0.00
